StudyID,ID1,ID2,Midtest,Posttest,Condition,CognitiveSupports,AffectiveECD,AffectivePOT,Progress,Duration (in seconds),Finished,RecordedDate,Age,Sex,American Indian or Alaska Native,Asian,Black or African American,Hispanic,Native Hawaiian or Pacific Islander,White,Other (enter),Prefer not to say,Other_TEXT,Gaming,Physics,A-NQ1,A-NQ2,A-NQ3,A-NQ4,A-NQ5,A-NQ6,A-NQ7,A-NQ8,A-NQ9,A-NQ10,A-NQ11,A-NQ12,A-NQ13,A-NQ14,A-FQ1,A-FQ2,A-FQ3,A-FQ4,A-FQ5,A-FQ6,A-FQ7,A-FQ8,A-FQ9,A-FQ10,A-FQ11,A-FQ12,A-FQ13,A-FQ14,SC0,Gender,Ethnicity,A-NQ1_scored,A-NQ2_scored,A-NQ3_scored,A-NQ4_scored,A-NQ5_scored,A-NQ6_scored,A-NQ7_scored,A-NQ8_scored,A-NQ9_scored,A-NQ10_scored,A-NQ11_scored,A-NQ12_scored,A-NQ13_scored,A-NQ14_scored,A-FQ1_scored,A-FQ2_scored,A-FQ3_scored,A-FQ4_scored,A-FQ5_scored,A-FQ6_scored,A-FQ7_scored,A-FQ8_scored,A-FQ9_scored,A-FQ10_scored,A-FQ11_scored,A-FQ12_scored,A-FQ13_scored,A-FQ14_scored,NearECT,FarECT,NearPOT,FarPOT,Near,Far,ECT,POT,PhysicsScore,Progress.ect,Duration (in seconds).ect,Finished.ect,RecordedDate.ect,IMI_1,IMI_2,IMI_3,IMI_4,IMI_5,IMI_6,IMI_7,IMI_8,IMI_9,IMI_10,IMI_11,IMI_12,IMI_13,IMI_14,IMI_15,IMI_16,IMI_17,IMI_18,A-NQ1.ect,A-NQ2.ect,A-NQ3.ect,A-NQ4.ect,A-NQ5.ect,A-NQ6.ect,A-NQ7.ect,A-NQ8.ect,A-NQ12.ect,A-NQ13.ect,A-NQ14.ect,A-FQ1.ect,A-FQ2.ect,A-FQ3.ect,A-FQ4.ect,A-FQ5.ect,A-FQ6.ect,A-FQ7.ect,A-FQ8.ect,Q90,Q74,PA1,PA2,PA3,PA4,PA5,PA6,PA7,SC0.ect,A-NQ1_scored.ect,A-NQ2_scored.ect,A-NQ3_scored.ect,A-NQ4_scored.ect,A-NQ5_scored.ect,A-NQ6_scored.ect,A-NQ7_scored.ect,A-NQ8_scored.ect,A-NQ12_scored.ect,A-NQ13_scored.ect,A-NQ14_scored.ect,A-FQ1_scored.ect,A-FQ2_scored.ect,A-FQ3_scored.ect,A-FQ4_scored.ect,A-FQ5_scored.ect,A-FQ6_scored.ect,A-FQ7_scored.ect,A-FQ8_scored.ect,NearECTpost,FarECTpost,ECTpost,IMI,IMI_Enj,IMI_Eng,IMI_PC,IMI_Effort,IMI_Frust,IMI_Value,PA,Progress.pot,Duration (in seconds).pot,Finished.pot,RecordedDate.pot,IMI_1.pot,IMI_2.pot,IMI_3.pot,IMI_4.pot,IMI_5.pot,IMI_6.pot,IMI_7.pot,IMI_8.pot,IMI_9.pot,IMI_10.pot,IMI_11.pot,IMI_12.pot,IMI_13.pot,IMI_14.pot,IMI_15.pot,IMI_16.pot,IMI_17.pot,IMI_18.pot,A-NQ9.pot,A-NQ10.pot,A-NQ11.pot,A-NQ12.pot,A-NQ13.pot,A-NQ14.pot,A-FQ9.pot,A-FQ10.pot,A-FQ11.pot,A-FQ12.pot,A-FQ13.pot,A-FQ14.pot,Q90.pot,Q74.pot,PA1.pot,PA2.pot,PA3.pot,PA4.pot,PA5.pot,PA6.pot,PA7.pot,SC0.pot,A-NQ9_scored.pot,A-NQ10_scored.pot,A-NQ11_scored.pot,A-NQ12_scored.pot,A-NQ13_scored.pot,A-NQ14_scored.pot,A-FQ9_scored.pot,A-FQ10_scored.pot,A-FQ11_scored.pot,A-FQ12_scored.pot,A-FQ13_scored.pot,A-FQ14_scored.pot,NearPOTpost,FarPOTpost,POTpost,IMI.pot,IMI_Enj.pot,IMI_Eng.pot,IMI_PC.pot,IMI_Effort.pot,IMI_Frust.pot,IMI_Value.pot,PA.pot
A0011,027ad1,027ad2,ECT,POT,A,TRUE,FALSE,TRUE,100,1324,1,2022-11-28T13:38:43Z,14,Female,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,Once a week,Yes,Draw an object with a larger mass,Not enough information,No difference,Both,Dropped from point C,The blue box ,Attach a weight to the springboard and then release,A,B,A,Make the blue stick longer,B,B,Attach a heavy weight on point B,The ball in picture B,A and B will be launched the same height because both masses start at the same height,A will be faster than B,Somewhere between Position 2 and Position 3,The blue cart,the least at C,Increase the mass of the ball,The first dive bent the board less than the second dive,Replace 4 kg with 8 kg and move it to point A,Tom, Greater than 1 m,B,By moving the object closer to the tree trunk, less,15,Female,White,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,4,4,3,3,7,7,8,6,14,100,775,1,2022-11-30T13:47:00Z,3,2,4,5,4,3,2,3,1,5,6,6,6,1,2,2,3,5,Draw the object closer to the center of the lever,More than before,No difference,A,Dropped from point C,No difference,Attach a weight to the springboard and then release,A,B,B,Attach a heavy weight on point B,The ball in picture A,A and B will be launched the same height because both masses start at the same height,A will be faster than B,Somewhere between Position 2 and Position 3,The red cart,the least at C,Increase the mass of the ball,The first dive bent the board less than the second dive,A0011,4,2,2,2,2,3,2,4,14,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,6,4,10,63,5,13,9,23,5,8,17,100,475,1,2022-12-02T13:44:28Z,4,3,5,6,5,3,4,4,4,6,6,6,6,1,2,2,4,4,No difference,C,NA,B,B,Attach a heavy weight on point B,Neither,Tom, Greater than 1 m,B,By moving the object closer to the tree trunk, less,A0011,4,2,3,2,2,3,1,3,6,0,1,0,1,0,1,0,0,0,1,1,1,2,3,5,75,7,16,15,24,5,8,16
C0022,163cd1,163cd2,ECT,POT,C,TRUE,TRUE,FALSE,100,1111,1,2022-11-28T13:35:01Z,13,Female,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,Once a week,Yes,Draw an object with a larger mass,More than before,Not enough information,A,Dropped from point C,The red box ,Increase the mass of the ball,A,A ,C,Decrease green ball's mass,B,B,Attach a heavy weight on point B,The ball in picture B,A and B will be launched the same height because both masses start at the same height,B will be faster than A,Position 3,The blue cart,the least at B,Increase the mass of the ball,The second dive bent the board less than the first dive,Replace 4 kg with 8 kg and move it to point A,Lynn,More information is needed to answer the question,B,By moving the object closer to the tree trunk, more,17,Female,Mixed,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,5,4,4,3,9,7,9,7,16,100,560,1,2022-11-30T13:43:25Z,5,5,5,6,5,6,4,5,5,6,6,6,6,2,4,3,4,5,Draw an object with a larger mass,More than before,A,A,Dropped from point C,The red box ,Attach a weight to the springboard ,A,B,B,Attach a light weight on point B,The ball in picture A,A and B will be launched the same height because both masses start at the same height,B will be faster than A,Somewhere between Position 2 and Position 3,The blue cart,the least at C,Increase the mass of the ball,The second dive bent the board less than the first dive,C0022,4,2,1,2,1,2,0,3,11,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,5,3,8,88,10,16,20,24,9,9,11,100,357,1,2022-12-02T13:42:46Z,5,5,6,5,5,5,5,4,4,5,6,5,6,3,3,3,5,4,B,C,NA,B,B,Attach a heavy weight on point B, Replace 4 kg with 8 kg and move it to point B,They both have an equal effect on the door’s movement,Less than 1 m,B,By moving the object closer to the tree trunk, less,C0022,4,2,2,1,1,2,0,4,10,1,1,0,1,0,1,1,0,1,1,1,1,4,3,7,84,10,16,18,22,9,9,12
F0044,341fd1,341fd2,ECT,POT,F,FALSE,FALSE,FALSE,100,1105,1,2022-11-28T13:34:51Z,13,Male,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,3-4 times a week,Yes,Draw an object with a larger mass,The same as before,B,A,Dropped from point C,The blue box ,Attach a weight to the springboard and then release,A,B,C,Decrease green ball's mass,B,B,Attach a heavy weight on point B,The ball in picture A,B will be launched higher than A,A will be faster than B,Position 3,The blue cart,the least at B,Increase the mass of the ball,The first dive bent the board less than the second dive, Replace 4 kg with 8 kg and move it to point B,Lynn,Less than 1 m,Both will have the same effect on the acrobat,By moving the object closer to the tree trunk, more,24,Male,White,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,6,8,5,4,11,12,14,9,23,100,660,1,2022-11-30T13:45:11Z,7,7,7,7,7,7,7,7,7,6,7,5,7,5,7,7,7,7,Draw an object with a larger mass,More than before,A,A,Dropped from point C,The blue box ,Attach a weight to the springboard and then release,A,B,B,Attach a heavy weight on point B,The ball in picture A,B will be launched higher than A,A will be faster than B,Somewhere above Position 3,The blue cart,the least at B,Increase the mass of the ball,The first dive bent the board less than the second dive,F0044,5,NA,NA,NA,NA,NA,NA,NA,15,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,6,7,13,121,14,21,28,25,19,14,0,100,273,1,2022-12-02T13:41:34Z,7,7,7,7,7,7,7,7,6,6,6,6,6,5,5,6,7,7,B,C,NA,B,B,Attach a heavy weight on point B, Replace 4 kg with 8 kg and move it to point B,Lynn,Less than 1 m,A,By moving the object closer to the tree trunk, more,F0044,5,NA,NA,NA,NA,NA,NA,NA,10,1,1,0,1,0,1,1,1,1,0,1,0,4,2,6,116,14,21,27,24,16,14,0
B0055,119bd1,119bd2,POT,ECT,B,TRUE,TRUE,FALSE,100,807,1,2022-11-28T13:30:00Z,14,Female,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Never,Yes,Draw an object with a larger mass,More than before,B,A,Dropped from point C,The blue box ,Attach a weight to the springboard and then release,A,B,C,Increase green ball's mass,B,B,Attach a light weight on point B,The ball in picture A,A and B will be launched the same height because both masses start at the same height,A will be faster than B,Somewhere between Position 2 and Position 3,The blue cart,the least at C,Decrease the mass of the ball,The second dive bent the board less than the first dive, Both,Lynn, Equal to 1 m,B,By moving the object closer to the tree trunk, less,18,Female,Black or African American,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,7,3,3,4,10,7,10,7,17,100,396,1,2022-12-02T13:41:59Z,3,4,4,3,4,4,4,5,4,4,5,5,5,1,1,1,3,4,Draw an object with a larger mass,More than before,No difference,A,Dropped from point C,The blue box ,Attach a weight to the springboard and then release,A,B,B,Attach a heavy weight on point A,The ball in picture A,B will be launched higher than A,A will be faster than B,Somewhere between Position 2 and Position 3,The blue cart,the least at C,Increase the mass of the ball,The first dive bent the board less than the second dive,B0055,4,2,2,2,4,4,4,5,13,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,6,6,12,64,7,11,17,19,3,7,23,100,555,1,2022-11-30T13:43:25Z,5,5,4,4,5,4,5,7,4,5,4,4,4,1,2,4,2,3,B,A,NA,B,A,Attach a heavy weight on point B,Replace 4 kg with 8 kg and move it to point A,Lynn, Equal to 1 m,B,By moving the object closer to the tree trunk, less,B0055,4,4,3,3,3,4,3,5,7,1,0,0,1,1,1,0,1,0,1,1,1,5,4,9,72,10,13,20,17,7,5,25
C0066,203cd1,203cd2,ECT,POT,C,TRUE,TRUE,FALSE,100,771,1,2022-11-28T13:29:21Z,14,Female,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,Never,Yes,Draw an object with a larger mass,Not enough information,Not enough information,A,Dropped from point C,The red box ,None of the above,A,B,C,Decrease green ball's mass,B,B,Attach a heavy weight on point B,The ball in picture A,A and B will be launched the same height because both masses start at the same height,A and B will move at the same speed,Somewhere above Position 3,The blue cart,the least at B,Decrease the mass of the ball,The first dive bent the board less than the second dive, Replace 4 kg with 8 kg and move it to point B,Lynn,Less than 1 m,Both will have the same effect on the acrobat,By moving the object closer to the tree trunk, less,21,Female,White,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,4,4,5,5,9,9,8,10,18,100,481,1,2022-11-30T13:42:33Z,6,6,6,6,6,4,5,6,6,5,6,5,6,2,3,3,6,5,Draw an object with a larger mass,More than before,B,A,Dropped from point C,The red box ,Attach a weight to the springboard and then release,A,B,B,Attach a heavy weight on point B,The ball in picture A,A and B will be launched the same height because both masses start at the same height,A will be faster than B,Somewhere between Position 2 and Position 3,The blue cart,the least at B,Increase the mass of the ball,The first dive bent the board less than the second dive,C0066,4,2,5,1,2,3,3,4,17,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,7,6,13,92,12,18,21,22,8,11,20,100,331,1,2022-12-02T13:40:27Z,6,7,6,7,5,4,6,5,5,6,7,6,7,1,3,3,7,6,B,C,NA,B,B,Attach a heavy weight on point B, Replace 4 kg with 8 kg and move it to point B,Lynn,Less than 1 m,Both will have the same effect on the acrobat,By moving the object closer to the tree trunk,  the same,C0066,4,4,4,4,4,3,3,4,11,1,1,0,1,0,1,1,1,1,0,1,0,3,5,8,97,13,18,20,26,7,13,26
D0077,224dd1,224dd2,POT,ECT,D,TRUE,FALSE,TRUE,100,1446,1,2022-11-28T13:40:47Z,12,Male,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,3-4 times a week,Yes,Draw an object with a larger mass,More than before,B,A,Dropped from point C,The red box ,Attach a weight to the springboard and then release,A,B,A,Decrease green ball's mass,B,B,Attach a heavy weight on point B,The ball in picture A,A and B will be launched the same height because both masses start at the same height,A will be faster than B,Somewhere between Position 2 and Position 3,The blue cart,the least at B,Increase the mass of the ball,The first dive bent the board less than the second dive,Replace 4 kg with 8 kg and move it to point A,Lynn,More information is needed to answer the question,Both will have the same effect on the acrobat,By moving the object closer to the tree trunk, less,23,Male,Mixed,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,7,6,4,3,11,9,13,7,20,100,641,1,2022-12-02T23:00:28Z,5,5,5,5,4,5,6,7,5,6,6,6,7,3,6,4,6,5,Draw an object with a larger mass,More than before,B,A,Dropped from point C,The red box ,Attach a weight to the springboard and then release,A,B,B,Attach a heavy weight on point B,The ball in picture A,A and B will be launched the same height because both masses start at the same height,A will be faster than B,Somewhere between Position 2 and Position 3,The blue cart,the least at B,Increase the mass of the ball,The first dive bent the board less than the second dive,D0077,4,2,2,3,3,1,1,4,17,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,7,6,13,96,10,14,23,25,13,11,16,100,497,1,2022-11-30T13:42:43Z,4,5,6,7,3,1,4,5,6,6,6,6,6,4,4,4,6,4,B,A,NA,B,B,Attach a heavy weight on point B, Replace 4 kg with 8 kg and move it to point B,Lynn,Less than 1 m,Both will have the same effect on the acrobat,By moving the object closer to the tree trunk, less,D0077,4,3,3,1,3,2,1,4,11,1,0,0,1,0,1,1,1,1,0,1,1,4,4,8,87,9,16,16,24,12,10,17
B0088,105bd1,105bd2,POT,ECT,B,TRUE,TRUE,FALSE,100,1224,1,2022-11-28T13:36:53Z,14,Female,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,Once a month or less,Yes,Draw an object with a larger mass,More than before,No difference,B,No difference,The blue box ,Increase the mass of the ball,C,Not enough information,C,Decrease green ball's mass,B,A,Attach a heavy weight on point B,The ball in picture B,More information is needed to answer the question,A will be faster than B,Position 2,The blue cart,the least at B,More information is needed to answer the question,The first dive bent the board less than the second dive,Replace 4 kg with 8 kg and move it to point A,Not enough information, Equal to 1 m,B,By moving the object closer to the tree trunk, more,11,Female,White,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,2,4,5,2,7,6,6,7,13,100,524,1,2022-12-02T13:45:03Z,5,4,4,2,3,3,4,6,4,7,7,4,7,4,7,6,1,1,Draw an object with a smaller mass,More than before,No difference,A,Dropped from point C,The red box ,Attach a weight to the springboard and then release,A,B,B,Attach a light weight on point A,The ball in picture A,A will be launched higher than B,B will be faster than A,Position 3,The blue cart,the least at C,Increase the mass of weight B,The second dive bent the board less than the first dive,NA,4,4,4,4,3,3,3,4,10,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,5,3,8,79,9,9,17,25,17,2,25,100,497,1,2022-11-30T13:43:27Z,5,4,4,4,2,2,4,4,4,7,7,7,7,7,7,4,2,2,B,C,NA,B,B,Attach a heavy weight on point B,Replace 4 kg with 8 kg and move it to point A,They both have an equal effect on the door’s movement, Greater than 1 m,B,By moving the object closer to the tree trunk, less,NA,5,NA,NA,NA,NA,NA,NA,NA,7,1,1,0,1,0,1,0,0,0,1,1,1,1,3,4,83,9,10,14,28,18,4,0
F0101,334fd1,334fd2,ECT,POT,F,FALSE,FALSE,FALSE,100,716,1,2022-11-28T14:22:44Z,13,Female,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,3-4 times a week,Yes,Draw the object closer to the center of the lever,More than before,B,B,Dropped from point C,Not enough information,Attach a weight to the springboard and then release,A,B,C,Make the blue stick shorter,B,A,Attach a heavy weight on point B,The ball in picture A,A and B will be launched the same height because both masses start at the same height,A will be faster than B,Somewhere above Position 3,The blue cart,the least at C,Increase the mass of the ball,The first dive bent the board less than the second dive, Both,Lynn,Less than 1 m,Both will have the same effect on the acrobat,By moving the object closer to the tree trunk, less,20,Female,Black or African American,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,5,5,5,4,10,9,10,9,19,100,397,1,2022-11-30T14:40:34Z,4,4,5,7,5,3,3,5,6,5,7,4,5,3,7,4,5,NA,Draw an object with a larger mass,More than before,B,A,Dropped from point C,The blue box ,Attach a weight to the springboard and then release,A,B,B,Attach a heavy weight on point B,The ball in picture A,A and B will be launched the same height because both masses start at the same height,B will be faster than A,Somewhere between Position 2 and Position 3,The blue cart,the least at C,Increase the mass of the ball,The first dive bent the board less than the second dive,F0101,5,NA,NA,NA,NA,NA,NA,NA,15,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,7,4,11,82,8,17,17,21,14,5,0,100,241,1,2022-12-02T14:34:47Z,6,6,6,7,5,4,4,7,3,5,7,5,6,3,5,3,5,4,B,C,NA,B,B,Attach a heavy weight on point B, Both,Lynn,Less than 1 m,B,By moving the object closer to the tree trunk, less,F0101,5,NA,NA,NA,NA,NA,NA,NA,9,1,1,0,1,0,1,0,1,1,1,1,1,4,4,8,91,12,18,18,23,11,9,0
A0112,035ad1,035ad2,ECT,POT,A,TRUE,FALSE,TRUE,100,934,1,2022-11-28T14:26:09Z,14,Female,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,Once a week,Yes,Draw an object with a larger mass,More than before,B,A,Dropped from point C,The blue box ,Attach a weight to the springboard and then release,A,B,C,Increase green ball's mass,B,B,Attach a heavy weight on point B,The ball in picture A,B will be launched higher than A,A will be faster than B,Somewhere above Position 3,The blue cart,the least at A,Increase the mass of the ball,The first dive bent the board less than the second dive, Both,Lynn, Greater than 1 m,A,By moving the object closer to the tree trunk, less,20,Female,White,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,7,6,4,3,11,9,13,7,20,100,605,1,2022-11-30T14:44:10Z,6,7,7,7,6,5,NA,6,6,6,7,6,2,4,6,4,5,6,Draw the object closer to the center of the lever,The same as before,A,A,Dropped from point C,The red box ,Attach a weight to the springboard and then release,A,B,A,Attach a heavy weight on point B,The ball in picture B,A and B will be launched the same height because both masses start at the same height,A will be faster than B,Somewhere above Position 3,The blue cart,the least at A,Increase the mass of the ball,The second dive bent the board less than the first dive,a0112,4,2,4,2,3,1,2,3,10,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,4,3,7,96,13,20,17,21,14,11,17,100,447,1,2022-12-02T21:44:57Z,6,6,6,6,6,6,5,6,5,6,6,6,6,5,5,5,4,6,B,C,NA,B,B,Attach a heavy weight on point B, Replace 4 kg with 8 kg and move it to point B,Lynn,Less than 1 m,Both will have the same effect on the acrobat,By moving the object closer to the tree trunk, more,A0112,4,2,4,2,2,2,3,3,10,1,1,0,1,0,1,1,1,1,0,1,0,4,5,9,101,12,18,22,24,15,10,18
F0123,354fd1,354fd2,ECT,POT,F,FALSE,FALSE,FALSE,100,929,1,2022-11-28T14:26:07Z,13,Female,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,Never,Yes,Draw an object with a larger mass,More than before,B,A,Dropped from point C,No difference,Attach a weight to the springboard and then release,A,B,C,Make the blue stick longer,B,B,Attach a light weight on point B,The ball in picture A,A and B will be launched the same height because both masses start at the same height,A and B will move at the same speed,Somewhere above Position 3,The blue cart,the least at C,Increase the mass of the ball,The first dive bent the board less than the second dive,Replace 4 kg with 8 kg and move it to point A,Lynn,Less than 1 m,Both will have the same effect on the acrobat,By moving the object closer to the tree trunk, less,22,Female,White,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,8,4,3,4,11,8,12,7,19,100,569,1,2022-11-30T14:43:30Z,7,7,7,7,7,2,1,7,6,7,7,7,7,4,7,6,7,7,Draw an object with a larger mass,More than before,A,A,Dropped from point C,The red box ,Attach a weight to the springboard and then release,A,B,B,Attach a heavy weight on point B,The ball in picture B,A and B will be launched the same height because both masses start at the same height,A will be faster than B,Somewhere above Position 3,The blue cart,the least at C,Increase the mass of the ball,The first dive bent the board less than the second dive,F0123,5,NA,NA,NA,NA,NA,NA,NA,14,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,1,6,4,10,110,14,21,16,28,17,14,0,100,531,1,2022-12-02T14:39:43Z,7,7,7,7,7,1,1,7,1,7,7,7,7,6,6,7,7,7,B,C,NA,B,B,Attach a heavy weight on point B, Replace 4 kg with 8 kg and move it to point B,Lynn,Less than 1 m,Both will have the same effect on the acrobat,By moving the object closer to the tree trunk, less,F0123,5,NA,NA,NA,NA,NA,NA,NA,11,1,1,0,1,0,1,1,1,1,0,1,1,2,2,4,106,14,21,10,28,19,14,0
