"","StudyID","ID1","ID2","Midtest","Posttest","Condition","CognitiveSupports","AffectiveECD","AffectivePOT","Progress","Duration (in seconds)","Finished","RecordedDate","Age","Sex","American Indian or Alaska Native","Asian","Black or African American","Hispanic","Native Hawaiian or Pacific Islander","White","Other (enter)","Prefer not to say","Other_TEXT","Gaming","Physics","A-NQ1","A-NQ2","A-NQ3","A-NQ4","A-NQ5","A-NQ6","A-NQ7","A-NQ8","A-NQ9","A-NQ10","A-NQ11","A-NQ12","A-NQ13","A-NQ14","A-FQ1","A-FQ2","A-FQ3","A-FQ4","A-FQ5","A-FQ6","A-FQ7","A-FQ8","A-FQ9","A-FQ10","A-FQ11","A-FQ12","A-FQ13","A-FQ14","SC0","Gender","Ethnicity","A-NQ1_scored","A-NQ2_scored","A-NQ3_scored","A-NQ4_scored","A-NQ5_scored","A-NQ6_scored","A-NQ7_scored","A-NQ8_scored","A-NQ9_scored","A-NQ10_scored","A-NQ11_scored","A-NQ12_scored","A-NQ13_scored","A-NQ14_scored","A-FQ1_scored","A-FQ2_scored","A-FQ3_scored","A-FQ4_scored","A-FQ5_scored","A-FQ6_scored","A-FQ7_scored","A-FQ8_scored","A-FQ9_scored","A-FQ10_scored","A-FQ11_scored","A-FQ12_scored","A-FQ13_scored","A-FQ14_scored","NearECT","FarECT","NearPOT","FarPOT","Near","Far","ECT","POT","PhysicsScore","Progress.ect","Duration (in seconds).ect","Finished.ect","RecordedDate.ect","IMI_1","IMI_2","IMI_3","IMI_4","IMI_5","IMI_6","IMI_7","IMI_8","IMI_9","IMI_10","IMI_11","IMI_12","IMI_13","IMI_14","IMI_15","IMI_16","IMI_17","IMI_18","A-NQ1.ect","A-NQ2.ect","A-NQ3.ect","A-NQ4.ect","A-NQ5.ect","A-NQ6.ect","A-NQ7.ect","A-NQ8.ect","A-NQ12.ect","A-NQ13.ect","A-NQ14.ect","A-FQ1.ect","A-FQ2.ect","A-FQ3.ect","A-FQ4.ect","A-FQ5.ect","A-FQ6.ect","A-FQ7.ect","A-FQ8.ect","Q90","Q74","PA1","PA2","PA3","PA4","PA5","PA6","PA7","SC0.ect","A-NQ1_scored.ect","A-NQ2_scored.ect","A-NQ3_scored.ect","A-NQ4_scored.ect","A-NQ5_scored.ect","A-NQ6_scored.ect","A-NQ7_scored.ect","A-NQ8_scored.ect","A-NQ12_scored.ect","A-NQ13_scored.ect","A-NQ14_scored.ect","A-FQ1_scored.ect","A-FQ2_scored.ect","A-FQ3_scored.ect","A-FQ4_scored.ect","A-FQ5_scored.ect","A-FQ6_scored.ect","A-FQ7_scored.ect","A-FQ8_scored.ect","NearECTpost","FarECTpost","ECTpost","IMI","IMI_Enj","IMI_Eng","IMI_PC","IMI_Effort","IMI_Frust","IMI_Value","PA","Progress.pot","Duration (in seconds).pot","Finished.pot","RecordedDate.pot","IMI_1.pot","IMI_2.pot","IMI_3.pot","IMI_4.pot","IMI_5.pot","IMI_6.pot","IMI_7.pot","IMI_8.pot","IMI_9.pot","IMI_10.pot","IMI_11.pot","IMI_12.pot","IMI_13.pot","IMI_14.pot","IMI_15.pot","IMI_16.pot","IMI_17.pot","IMI_18.pot","A-NQ9.pot","A-NQ10.pot","A-NQ11.pot","A-NQ12.pot","A-NQ13.pot","A-NQ14.pot","A-FQ9.pot","A-FQ10.pot","A-FQ11.pot","A-FQ12.pot","A-FQ13.pot","A-FQ14.pot","Q90.pot","Q74.pot","PA1.pot","PA2.pot","PA3.pot","PA4.pot","PA5.pot","PA6.pot","PA7.pot","SC0.pot","A-NQ9_scored.pot","A-NQ10_scored.pot","A-NQ11_scored.pot","A-NQ12_scored.pot","A-NQ13_scored.pot","A-NQ14_scored.pot","A-FQ9_scored.pot","A-FQ10_scored.pot","A-FQ11_scored.pot","A-FQ12_scored.pot","A-FQ13_scored.pot","A-FQ14_scored.pot","NearPOTpost","FarPOTpost","POTpost","IMI.pot","IMI_Enj.pot","IMI_Eng.pot","IMI_PC.pot","IMI_Effort.pot","IMI_Frust.pot","IMI_Value.pot","PA.pot"
"1","A0011","027ad1","027ad2","ECT","POT","A",TRUE,FALSE,TRUE,100,1324,1,2022-11-28 13:38:43,14,"Female",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,"Once a week","Yes","A","D","C","C","C","B","B","A","B","A","D","B","B","B","B","C","C","C","B","C","A","B","A","A","B","B","C","B",15,"Female","White",1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,4,4,3,3,7,7,8,6,14,100,775,1,2022-11-30 13:47:00,3,2,4,5,4,3,2,3,1,5,6,6,6,1,2,2,3,5,"C","B","C","A","C","C","B","A","B","B","B","A","C","C","C","A","C","A","B","A0011",4,2,2,2,2,3,2,4,14,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,6,4,10,63,5,13,9,23,5,8,17,100,475,1,2022-12-02 13:44:28,4,3,5,6,5,3,4,4,4,6,6,6,6,1,2,2,4,4,"C","C",NA,"B","B","B","D","A","B","B","C","B","A0011",4,2,3,2,2,3,1,3,6,0,1,0,1,0,1,0,0,0,1,1,1,2,3,5,75,7,16,15,24,5,8,16
"2","C0022","163cd1","163cd2","ECT","POT","C",TRUE,TRUE,FALSE,100,1111,1,2022-11-28 13:35:01,13,"Female",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,"Once a week","Yes","A","B","D","A","C","A","C","A","A","C","B","B","B","B","B","C","B","B","B","B","A","C","A","B","D","B","C","A",17,"Female","Mixed",1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,5,4,4,3,9,7,9,7,16,100,560,1,2022-11-30 13:43:25,5,5,5,6,5,6,4,5,5,6,6,6,6,2,4,3,4,5,"A","B","A","A","C","A","A","A","B","B","A","A","C","B","C","B","C","A","C","C0022",4,2,1,2,1,2,0,3,11,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,5,3,8,88,10,16,20,24,9,9,11,100,357,1,2022-12-02 13:42:46,5,5,6,5,5,5,5,4,4,5,6,5,6,3,3,3,5,4,"B","C",NA,"B","B","B","B","C","A","B","C","B","C0022",4,2,2,1,1,2,0,4,10,1,1,0,1,0,1,1,0,1,1,1,1,4,3,7,84,10,16,18,22,9,9,12
"3","F0044","341fd1","341fd2","ECT","POT","F",FALSE,FALSE,FALSE,100,1105,1,2022-11-28 13:34:51,13,"Male",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,"3-4 times a week","Yes","A","A","B","A","C","B","B","A","B","C","B","B","B","B","A","B","C","B","B","B","A","B","B","B","A","C","C","A",24,"Male","White",1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,6,8,5,4,11,12,14,9,23,100,660,1,2022-11-30 13:45:11,7,7,7,7,7,7,7,7,7,6,7,5,7,5,7,7,7,7,"A","B","A","A","C","B","B","A","B","B","B","A","B","C","D","B","B","A","B","F0044",5,NA,NA,NA,NA,NA,NA,NA,15,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,6,7,13,121,14,21,28,25,19,14,0,100,273,1,2022-12-02 13:41:34,7,7,7,7,7,7,7,7,6,6,6,6,6,5,5,6,7,7,"B","C",NA,"B","B","B","B","B","A","A","C","A","F0044",5,NA,NA,NA,NA,NA,NA,NA,10,1,1,0,1,0,1,1,1,1,0,1,0,4,2,6,116,14,21,27,24,16,14,0
"4","B0055","119bd1","119bd2","POT","ECT","B",TRUE,TRUE,FALSE,100,807,1,2022-11-28 13:30:00,14,"Female",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Never","Yes","A","B","B","A","C","B","B","A","B","C","A","B","B","A","A","C","C","C","B","C","B","C","C","B","C","B","C","B",18,"Female","Black or African American",1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,7,3,3,4,10,7,10,7,17,100,396,1,2022-12-02 13:41:59,3,4,4,3,4,4,4,5,4,4,5,5,5,1,1,1,3,4,"A","B","C","A","C","B","B","A","B","B","D","A","B","C","C","B","C","A","B","B0055",4,2,2,2,4,4,4,5,13,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,6,6,12,64,7,11,17,19,3,7,23,100,555,1,2022-11-30 13:43:25,5,5,4,4,5,4,5,7,4,5,4,4,4,1,2,4,2,3,"B","A",NA,"B","A","B","A","B","C","B","C","B","B0055",4,4,3,3,3,4,3,5,7,1,0,0,1,1,1,0,1,0,1,1,1,5,4,9,72,10,13,20,17,7,5,25
"5","C0066","203cd1","203cd2","ECT","POT","C",TRUE,TRUE,FALSE,100,771,1,2022-11-28 13:29:21,14,"Female",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,"Never","Yes","A","D","D","A","C","A","D","A","B","C","B","B","B","B","A","C","A","D","B","B","B","B","B","B","A","C","C","B",21,"Female","White",1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,4,4,5,5,9,9,8,10,18,100,481,1,2022-11-30 13:42:33,6,6,6,6,6,4,5,6,6,5,6,5,6,2,3,3,6,5,"A","B","B","A","C","A","B","A","B","B","B","A","C","C","C","B","B","A","B","C0066",4,2,5,1,2,3,3,4,17,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,7,6,13,92,12,18,21,22,8,11,20,100,331,1,2022-12-02 13:40:27,6,7,6,7,5,4,6,5,5,6,7,6,7,1,3,3,7,6,"B","C",NA,"B","B","B","B","B","A","C","C","C","C0066",4,4,4,4,4,3,3,4,11,1,1,0,1,0,1,1,1,1,0,1,0,3,5,8,97,13,18,20,26,7,13,26
"6","D0077","224dd1","224dd2","POT","ECT","D",TRUE,FALSE,TRUE,100,1446,1,2022-11-28 13:40:47,12,"Male",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,"3-4 times a week","Yes","A","B","B","A","C","A","B","A","B","A","B","B","B","B","A","C","C","C","B","B","A","B","A","B","D","C","C","B",23,"Male","Mixed",1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,7,6,4,3,11,9,13,7,20,100,641,1,2022-12-02 23:00:28,5,5,5,5,4,5,6,7,5,6,6,6,7,3,6,4,6,5,"A","B","B","A","C","A","B","A","B","B","B","A","C","C","C","B","B","A","B","D0077",4,2,2,3,3,1,1,4,17,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,7,6,13,96,10,14,23,25,13,11,16,100,497,1,2022-11-30 13:42:43,4,5,6,7,3,1,4,5,6,6,6,6,6,4,4,4,6,4,"B","A",NA,"B","B","B","B","B","A","C","C","B","D0077",4,3,3,1,3,2,1,4,11,1,0,0,1,0,1,1,1,1,0,1,1,4,4,8,87,9,16,16,24,12,10,17
"7","B0088","105bd1","105bd2","POT","ECT","B",TRUE,TRUE,FALSE,100,1224,1,2022-11-28 13:36:53,14,"Female",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,"Once a month or less","Yes","A","B","C","B","D","B","C","C","D","C","B","B","A","B","B","D","C","A","B","B","D","B","A","D","C","B","C","A",11,"Female","White",1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,2,4,5,2,7,6,6,7,13,100,524,1,2022-12-02 13:45:03,5,4,4,2,3,3,4,6,4,7,7,4,7,4,7,6,1,1,"B","B","C","A","C","A","B","A","B","B","C","A","A","B","B","B","C","C","C",NA,4,4,4,4,3,3,3,4,10,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,5,3,8,79,9,9,17,25,17,2,25,100,497,1,2022-11-30 13:43:27,5,4,4,4,2,2,4,4,4,7,7,7,7,7,7,4,2,2,"B","C",NA,"B","B","B","A","C","B","B","C","B",NA,5,NA,NA,NA,NA,NA,NA,NA,7,1,1,0,1,0,1,0,0,0,1,1,1,1,3,4,83,9,10,14,28,18,4,0
"8","F0101","334fd1","334fd2","ECT","POT","F",FALSE,FALSE,FALSE,100,716,1,2022-11-28 14:22:44,13,"Female",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"3-4 times a week","Yes","C","B","B","B","C","D","B","A","B","C","C","B","A","B","A","C","C","D","B","C","A","B","C","B","A","C","C","B",20,"Female","Black or African American",0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,5,5,5,4,10,9,10,9,19,100,397,1,2022-11-30 14:40:34,4,4,5,7,5,3,3,5,6,5,7,4,5,3,7,4,5,NA,"A","B","B","A","C","B","B","A","B","B","B","A","C","B","C","B","C","A","B","F0101",5,NA,NA,NA,NA,NA,NA,NA,15,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,7,4,11,82,8,17,17,21,14,5,0,100,241,1,2022-12-02 14:34:47,6,6,6,7,5,4,4,7,3,5,7,5,6,3,5,3,5,4,"B","C",NA,"B","B","B","C","B","A","B","C","B","F0101",5,NA,NA,NA,NA,NA,NA,NA,9,1,1,0,1,0,1,0,1,1,1,1,1,4,4,8,91,12,18,18,23,11,9,0
"9","A0112","035ad1","035ad2","ECT","POT","A",TRUE,FALSE,TRUE,100,934,1,2022-11-28 14:26:09,14,"Female",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,"Once a week","Yes","A","B","B","A","C","B","B","A","B","C","A","B","B","B","A","B","C","D","B","A","A","B","C","B","B","A","C","B",20,"Female","White",1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,7,6,4,3,11,9,13,7,20,100,605,1,2022-11-30 14:44:10,6,7,7,7,6,5,NA,6,6,6,7,6,2,4,6,4,5,6,"C","A","A","A","C","A","B","A","B","A","B","B","C","C","D","B","A","A","C","a0112",4,2,4,2,3,1,2,3,10,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,4,3,7,96,13,20,17,21,14,11,17,100,447,1,2022-12-02 21:44:57,6,6,6,6,6,6,5,6,5,6,6,6,6,5,5,5,4,6,"B","C",NA,"B","B","B","B","B","A","C","C","A","A0112",4,2,4,2,2,2,3,3,10,1,1,0,1,0,1,1,1,1,0,1,0,4,5,9,101,12,18,22,24,15,10,18
"10","F0123","354fd1","354fd2","ECT","POT","F",FALSE,FALSE,FALSE,100,929,1,2022-11-28 14:26:07,13,"Female",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,"Never","Yes","A","B","B","A","C","C","B","A","B","C","D","B","B","A","A","C","A","D","B","C","A","B","A","B","A","C","C","B",22,"Female","White",1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,8,4,3,4,11,8,12,7,19,100,569,1,2022-11-30 14:43:30,7,7,7,7,7,2,1,7,6,7,7,7,7,4,7,6,7,7,"A","B","A","A","C","A","B","A","B","B","B","B","C","C","D","B","C","A","B","F0123",5,NA,NA,NA,NA,NA,NA,NA,14,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,1,6,4,10,110,14,21,16,28,17,14,0,100,531,1,2022-12-02 14:39:43,7,7,7,7,7,1,1,7,1,7,7,7,7,6,6,7,7,7,"B","C",NA,"B","B","B","B","B","A","C","C","B","F0123",5,NA,NA,NA,NA,NA,NA,NA,11,1,1,0,1,0,1,1,1,1,0,1,1,2,2,4,106,14,21,10,28,19,14,0
