StudyID,class,teacher,period,valid,valid0,ID1,ID2,Midtest,Posttest,Condition,Number
A3430,a1,a,1,TRUE,TRUE,066ad1,066ad2,ECT,POT,A,3430
C3104,a1,a,1,TRUE,TRUE,176cd1,176cd2,ECT,POT,C,3104
D3418,a1,a,1,TRUE,TRUE,217dd1,217dd2,POT,ECT,D,3418
D3137,a1,a,1,TRUE,FALSE,248dd1,248dd2,POT,ECT,D,3137
C3115,a1,a,1,TRUE,TRUE,180cd1,180cd2,ECT,POT,C,3115
A3294,a1,a,1,TRUE,TRUE,002ad1,002ad2,ECT,POT,A,3294
F3126,a1,a,1,TRUE,TRUE,360fd1,360fd2,ECT,POT,F,3126
C3429,a1,a,1,TRUE,TRUE,181cd1,181cd2,ECT,POT,C,3429
B3283,a1,a,1,TRUE,TRUE,099bd1,099bd2,POT,ECT,B,3283
A3351,a1,a,1,TRUE,TRUE,042ad1,042ad2,ECT,POT,A,3351
D3317,a1,a,1,TRUE,TRUE,227dd1,227dd2,POT,ECT,D,3317
F3452,a1,a,1,TRUE,TRUE,372fd1,372fd2,ECT,POT,F,3452
E3463,a1,a,1,TRUE,TRUE,330ed1,330ed2,POT,ECT,E,3463
E3373,a1,a,1,TRUE,TRUE,287ed1,287ed2,POT,ECT,E,3373
E3384,a1,a,1,TRUE,TRUE,279ed1,279ed2,POT,ECT,E,3384
A3339,a1,a,1,TRUE,TRUE,025ad1,025ad2,ECT,POT,A,3339
B3340,a1,a,1,TRUE,TRUE,096bd1,096bd2,POT,ECT,B,3340
A3328,a1,a,1,TRUE,TRUE,054ad1,054ad2,ECT,POT,A,3328
C3148,a1,a,1,TRUE,FALSE,200cd1,200cd2,ECT,POT,C,3148
D2608,a1,a,1,TRUE,TRUE,239dd1,239dd2,POT,ECT,D,2608
B3362,a1,a,1,TRUE,TRUE,077bd1,077bd2,POT,ECT,B,3362
F3733,a2,a,2,TRUE,TRUE,376fd1,376fd2,ECT,POT,F,3733
F3722,a2,a,2,TRUE,TRUE,350fd1,350fd2,ECT,POT,F,3722
D2372,a2,a,2,TRUE,TRUE,251dd1,251dd2,POT,ECT,D,2372
C3597,a2,a,2,TRUE,TRUE,156cd1,156cd2,ECT,POT,C,3597
E3610,a2,a,2,TRUE,TRUE,281ed1,281ed2,POT,ECT,E,3610
E3632,a2,a,2,TRUE,TRUE,312ed1,312ed2,POT,ECT,E,3632
A3799,a2,a,2,TRUE,TRUE,048ad1,048ad2,ECT,POT,A,3799
C3395,a2,a,2,TRUE,TRUE,154cd1,154cd2,ECT,POT,C,3395
F3801,a2,a,2,TRUE,FALSE,374fd1,374fd2,ECT,POT,F,3801
F3609,a2,a,2,TRUE,TRUE,366fd1,366fd2,ECT,POT,F,3609
C3586,a2,a,2,TRUE,TRUE,169cd1,169cd2,ECT,POT,C,3586
D3643,a2,a,2,TRUE,TRUE,234dd1,234dd2,POT,ECT,D,3643
B3575,a2,a,2,TRUE,TRUE,071bd1,071bd2,POT,ECT,B,3575
D3621,a2,a,2,TRUE,TRUE,255dd1,255dd2,POT,ECT,D,3621
B3744,a2,a,2,TRUE,TRUE,069bd1,069bd2,POT,ECT,B,3744
E0392,a4,a,4,TRUE,TRUE,273ed1,273ed2,POT,ECT,E,392
B2451,a4,a,4,TRUE,TRUE,095bd1,095bd2,POT,ECT,B,2451
B0482,a4,a,4,TRUE,TRUE,112bd1,112bd2,POT,ECT,B,482
A0471,a4,a,4,TRUE,TRUE,016ad1,016ad2,ECT,POT,A,471
F1337,a4,a,4,TRUE,TRUE,357fd1,357fd2,ECT,POT,F,1337
E2361,a4,a,4,TRUE,TRUE,290ed1,290ed2,POT,ECT,E,2361
A0673,a4,a,4,TRUE,TRUE,067ad1,067ad2,ECT,POT,A,673
F0358,a4,a,4,TRUE,TRUE,375fd1,375fd2,ECT,POT,F,358
A0426,a4,a,4,TRUE,TRUE,033ad1,033ad2,ECT,POT,A,426
A0651,a4,a,4,TRUE,TRUE,004ad1,004ad2,ECT,POT,A,651
A1315,a4,a,4,TRUE,TRUE,060ad1,060ad2,ECT,POT,A,1315
A0459,a4,a,4,TRUE,TRUE,040ad1,040ad2,ECT,POT,A,459
B0415,a4,a,4,TRUE,TRUE,103bd1,103bd2,POT,ECT,B,415
C1326,a4,a,4,TRUE,TRUE,162cd1,162cd2,ECT,POT,C,1326
A0639,a4,a,4,TRUE,TRUE,047ad1,047ad2,ECT,POT,A,639
C0437,a4,a,4,TRUE,TRUE,193cd1,193cd2,ECT,POT,C,437
E0448,a5,a,5,TRUE,TRUE,309ed1,309ed2,POT,ECT,E,448
E1090,a5,a,5,TRUE,TRUE,313ed1,313ed2,POT,ECT,E,1090
D1179,a5,a,5,TRUE,TRUE,256dd1,256dd2,POT,ECT,D,1179
F1191,a5,a,5,TRUE,TRUE,351fd1,351fd2,ECT,POT,F,1191
C1225,a5,a,5,TRUE,TRUE,197cd1,197cd2,ECT,POT,C,1225
E0640,a5,a,5,TRUE,TRUE,329ed1,329ed2,POT,ECT,E,640
B1214,a5,a,5,TRUE,TRUE,100bd1,100bd2,POT,ECT,B,1214
D0370,a5,a,5,TRUE,TRUE,222dd1,222dd2,POT,ECT,D,370
C1269,a5,a,5,TRUE,TRUE,146cd1,146cd2,ECT,POT,C,1269
C0976,a5,a,5,TRUE,FALSE,145cd1,145cd2,ECT,POT,C,976
D1012,a5,a,5,TRUE,TRUE,213dd1,213dd2,POT,ECT,D,1012
C1180,a5,a,5,TRUE,TRUE,161cd1,161cd2,ECT,POT,C,1180
D1203,a5,a,5,TRUE,TRUE,206dd1,206dd2,POT,ECT,D,1203
C0369,a5,a,5,TRUE,TRUE,159cd1,159cd2,ECT,POT,C,369
E0381,a5,a,5,TRUE,TRUE,307ed1,307ed2,POT,ECT,E,381
A1089,a5,a,5,TRUE,TRUE,055ad1,055ad2,ECT,POT,A,1089
B0088,r1,r,1,TRUE,TRUE,105bd1,105bd2,POT,ECT,B,88
E0550,r1,r,1,TRUE,TRUE,308ed1,308ed2,POT,ECT,E,550
F0044,r1,r,1,TRUE,TRUE,341fd1,341fd2,ECT,POT,F,44
B2462,r1,r,1,TRUE,TRUE,110bd1,110bd2,POT,ECT,B,2462
D0213,r1,r,1,TRUE,TRUE,226dd1,226dd2,POT,ECT,D,213
A0011,r1,r,1,TRUE,TRUE,027ad1,027ad2,ECT,POT,A,11
F0235,r1,r,1,TRUE,TRUE,344fd1,344fd2,ECT,POT,F,235
A0202,r1,r,1,TRUE,TRUE,018ad1,018ad2,ECT,POT,A,202
C0066,r1,r,1,TRUE,TRUE,203cd1,203cd2,ECT,POT,C,66
B0055,r1,r,1,TRUE,TRUE,119bd1,119bd2,POT,ECT,B,55
E0224,r1,r,1,TRUE,FALSE,284ed1,284ed2,POT,ECT,E,224
B0190,r1,r,1,TRUE,TRUE,111bd1,111bd2,POT,ECT,B,190
C0022,r1,r,1,TRUE,TRUE,163cd1,163cd2,ECT,POT,C,22
A0189,r1,r,1,TRUE,TRUE,059ad1,059ad2,ECT,POT,A,189
D0077,r1,r,1,TRUE,TRUE,224dd1,224dd2,POT,ECT,D,77
E0549,r1,r,1,TRUE,TRUE,297ed1,297ed2,POT,ECT,E,549
E0505,r2,r,2,TRUE,TRUE,282ed1,282ed2,POT,ECT,E,505
A0246,r2,r,2,TRUE,TRUE,053ad1,053ad2,ECT,POT,A,246
A0561,r2,r,2,TRUE,TRUE,063ad1,063ad2,ECT,POT,A,561
C0178,r2,r,2,TRUE,TRUE,172cd1,172cd2,ECT,POT,C,178
A1360,r2,r,2,TRUE,TRUE,038ad1,038ad2,ECT,POT,A,1360
F0156,r2,r,2,TRUE,TRUE,331fd1,331fd2,ECT,POT,F,156
A0112,r2,r,2,TRUE,TRUE,035ad1,035ad2,ECT,POT,A,112
A0527,r2,r,2,TRUE,TRUE,049ad1,049ad2,ECT,POT,A,527
F0123,r2,r,2,TRUE,TRUE,354fd1,354fd2,ECT,POT,F,123
F0134,r2,r,2,TRUE,TRUE,358fd1,358fd2,ECT,POT,F,134
C0167,r2,r,2,TRUE,TRUE,140cd1,140cd2,ECT,POT,C,167
D1371,r2,r,2,TRUE,TRUE,261dd1,261dd2,POT,ECT,D,1371
F0101,r2,r,2,TRUE,TRUE,334fd1,334fd2,ECT,POT,F,101
