"","uid","context","timestamp","currentMoney","appId","mess","money","onWhat","LS_duration","learningSupportType"
"2","A3328","Nudge","2022-11-29 08:18:59",NA,NA,"LS Watched",NA,"game_tools",15.6700000762939,"game_tools"
"3","A3328","Nudge","2022-11-29 08:18:59",NA,NA,"LS Watched",NA,"",15.67,""
"4","F3452","Springboard","2022-11-29 08:25:19",NA,NA,"LS Watched",NA,"game_tools",11.2639999389648,"game_tools"
"5","F3452","Springboard","2022-11-29 08:25:19",NA,NA,"LS Watched",NA,"",11.264,""
"6","C3104","Springboard","2022-11-29 08:26:30",NA,NA,"LS Watched",NA,"game_tools",2.23200011253357,"game_tools"
"7","C3104","Springboard","2022-11-29 08:26:30",NA,NA,"LS Watched",NA,"",2.232,""
"8","C3115","Big Watermill","2022-11-29 08:28:29",NA,NA,"LS Watched",NA,"",0,""
"9","D3418","Shark","2022-11-29 08:29:02",NA,NA,"LS Watched",NA,"",0,""
"10","A3294","Chocolate Factory","2022-11-29 08:29:07",NA,NA,"LS Watched",NA,"",0,""
"11","C3148","Big Watermill","2022-11-29 08:29:12",NA,NA,"LS Watched",NA,"",0,""
"12","A3430","Chocolate Factory","2022-11-29 08:29:14",NA,NA,"LS Watched",NA,"",0,""
"13","F3452","Big Watermill","2022-11-29 08:29:31",NA,NA,"LS Watched",NA,"hint",4.75,"hint"
"14","F3452","Big Watermill","2022-11-29 08:29:33",NA,NA,"LS Watched",NA,"hint",1.94700002670288,"hint"
"15","A3351","Chocolate Factory","2022-11-29 08:29:38",NA,NA,"LS Watched",NA,"physAnim_ramp",42.510999917984,"physAnim_ramp"
"16","C3115","Sunny Day","2022-11-29 08:30:38",NA,NA,"LS Watched",NA,"game_tools",14.3320000171661,"game_tools"
"17","C3115","Sunny Day","2022-11-29 08:30:38",NA,NA,"LS Watched",NA,"",14.332,""
"18","A3339","Big Watermill","2022-11-29 08:31:47",NA,NA,"LS Watched",NA,"",0,""
"19","A3351","Chocolate Factory","2022-11-29 08:32:09",NA,NA,"LS Watched",NA,"physAnim_ramp",151.575999975204,"physAnim_ramp"
"20","C3104","Big Watermill","2022-11-29 08:32:13",NA,NA,"LS Watched",NA,"",0,""
"21","E0549","Springboard","2022-11-29 08:32:14",NA,NA,"LS Watched",NA,"game_tools",16.1900000572205,"game_tools"
"22","E0549","Springboard","2022-11-29 08:32:14",NA,NA,"LS Watched",NA,"",16.19,""
"23","C3429","Big Watermill","2022-11-29 08:32:22",NA,NA,"LS Watched",NA,"physAnim_ramp",4.38499999046326,"physAnim_ramp"
"24","F3452","Big Watermill","2022-11-29 08:32:35",NA,NA,"LS Watched",NA,"hint",1.97300004959106,"hint"
"25","C3115","Sunny Day","2022-11-29 08:32:41",NA,NA,"LS Watched",NA,"game_tools",6.60500001907349,"game_tools"
"26","C3115","Sunny Day","2022-11-29 08:32:41",NA,NA,"LS Watched",NA,"",6.605,""
"27","F3452","Big Watermill","2022-11-29 08:32:57",NA,NA,"LS Watched",NA,"game_tools",15.4389998912811,"game_tools"
"28","F3452","Big Watermill","2022-11-29 08:32:57",NA,NA,"LS Watched",NA,"",15.439,""
"29","C3115","Sunny Day","2022-11-29 08:33:04",NA,NA,"LS Watched",NA,"game_tools",9.35999989509583,"game_tools"
"30","C3115","Sunny Day","2022-11-29 08:33:04",NA,NA,"LS Watched",NA,"",9.36,""
"31","C3115","Sunny Day","2022-11-29 08:33:26",NA,NA,"LS Watched",NA,"",9.36,""
"32","C3148","Big Watermill","2022-11-29 08:33:28",NA,NA,"LS Watched",NA,"physAnim_ramp",37.6389999389648,"physAnim_ramp"
"33","D3317","Shark","2022-11-29 08:33:33",NA,NA,"LS Watched",NA,"physAnim_lever",16.2160000801086,"physAnim_lever"
"34","E3384","Shark","2022-11-29 08:34:07",NA,NA,"LS Watched",NA,"hint",2.08599996566772,"hint"
"35","C3115","Sunny Day","2022-11-29 08:34:17",NA,NA,"LS Watched",NA,"game_tools",11.6860001087189,"game_tools"
"36","C3115","Sunny Day","2022-11-29 08:34:17",NA,NA,"LS Watched",NA,"",11.686,""
"37","D3418","Shark","2022-11-29 08:34:37",NA,NA,"LS Watched",NA,"game_tools",13.5799999237061,"game_tools"
"38","D3418","Shark","2022-11-29 08:34:37",NA,NA,"LS Watched",NA,"",13.58,""
"39","C3115","Sunny Day","2022-11-29 08:34:42",NA,NA,"LS Watched",NA,"game_tools",22.5989999771118,"game_tools"
"40","C3115","Sunny Day","2022-11-29 08:34:42",NA,NA,"LS Watched",NA,"",22.599,""
"41","C3104","Sunny Day","2022-11-29 08:35:15",NA,NA,"LS Watched",NA,"",0,""
"42","D2608","Springboard","2022-11-29 08:35:15",NA,NA,"LS Watched",NA,"game_tools",10.7339999675751,"game_tools"
"43","D2608","Springboard","2022-11-29 08:35:15",NA,NA,"LS Watched",NA,"",10.734,""
"44","A0202","Chocolate Factory","2022-11-29 08:35:17",NA,NA,"LS Watched",NA,"",0,""
"45","A3430","Big Watermill","2022-11-29 08:35:21",NA,NA,"LS Watched",NA,"physAnim_ramp",9.42000007629395,"physAnim_ramp"
"46","A3339","Big Watermill","2022-11-29 08:36:22",NA,NA,"LS Watched",NA,"",0,""
"47","C3429","Sunny Day","2022-11-29 08:36:43",NA,NA,"LS Watched",NA,"",0,""
"48","A3328","Big Watermill","2022-11-29 08:36:59",NA,NA,"LS Watched",NA,"physAnim_ramp",11.8689999580383,"physAnim_ramp"
"49","A3351","Big Watermill","2022-11-29 08:37:00",NA,NA,"LS Watched",NA,"physAnim_ramp",31.1979999542236,"physAnim_ramp"
"50","C0022","Big Watermill","2022-11-29 08:37:17",NA,NA,"LS Watched",NA,"",0,""
"51","E0549","Shark","2022-11-29 08:37:41",NA,NA,"LS Watched",NA,"hint",41.2449998855591,"hint"
"52","C3115","Sunny Day","2022-11-29 08:37:41",NA,NA,"LS Watched",NA,"",22.599,""
"53","A3294","Big Watermill","2022-11-29 08:37:46",NA,NA,"LS Watched",NA,"",0,""
"54","C3115","Sunny Day","2022-11-29 08:37:59",NA,NA,"LS Watched",NA,"",22.599,""
"55","C3115","Sunny Day","2022-11-29 08:38:05",NA,NA,"LS Watched",NA,"",22.599,""
"56","A0202","Big Watermill","2022-11-29 08:38:06",NA,NA,"LS Watched",NA,"",0,""
"57","E0549","Shark","2022-11-29 08:38:15",NA,NA,"LS Watched",NA,"hint",3.33400011062622,"hint"
"58","C3115","Sunny Day","2022-11-29 08:38:15",NA,NA,"LS Watched",NA,"game_tools",2.78299999237061,"game_tools"
"59","C3115","Sunny Day","2022-11-29 08:38:15",NA,NA,"LS Watched",NA,"",2.783,""
"60","D0213","Around the Tree","2022-11-29 08:38:20",NA,NA,"LS Watched",NA,"game_tools",4.69700002670288,"game_tools"
"61","D0213","Around the Tree","2022-11-29 08:38:20",NA,NA,"LS Watched",NA,"",4.697,""
"62","C3104","On the Upswing","2022-11-29 08:38:22",NA,NA,"LS Watched",NA,"",0,""
"63","E0549","Shark","2022-11-29 08:38:25",NA,NA,"LS Watched",NA,"game_tools",9.16700005531311,"game_tools"
"64","E0549","Shark","2022-11-29 08:38:25",NA,NA,"LS Watched",NA,"",9.167,""
"65","C3115","Sunny Day","2022-11-29 08:38:32",NA,NA,"LS Watched",NA,"physAnim_lever",15.1159999370575,"physAnim_lever"
"66","C3104","On the Upswing","2022-11-29 08:38:32",NA,NA,"LS Watched",NA,"",0,""
"67","D0077","Shark","2022-11-29 08:38:35",NA,NA,"LS Watched",NA,"",0,""
"68","C3148","Sunny Day","2022-11-29 08:38:45",NA,NA,"LS Watched",NA,"",0,""
"69","D0077","Shark","2022-11-29 08:39:18",NA,NA,"LS Watched",NA,"physAnim_lever",0.0690000057220459,"physAnim_lever"
"70","D3418","Shark","2022-11-29 08:39:19",NA,NA,"LS Watched",NA,"physAnim_lever",21.864000082016,"physAnim_lever"
"71","A3294","Big Watermill","2022-11-29 08:39:59",NA,NA,"LS Watched",NA,"game_tools",26.3280000686646,"game_tools"
"72","A3294","Big Watermill","2022-11-29 08:39:59",NA,NA,"LS Watched",NA,"",26.328,""
"73","C3104","Cloudy Day","2022-11-29 08:40:07",NA,NA,"LS Watched",NA,"",0,""
"74","C3104","Cloudy Day","2022-11-29 08:40:14",NA,NA,"LS Watched",NA,"",0,""
"75","C3104","Cloudy Day","2022-11-29 08:40:18",NA,NA,"LS Watched",NA,"",0,""
"76","D2608","Shark","2022-11-29 08:40:22",NA,NA,"LS Watched",NA,"",0,""
"77","C3104","Cloudy Day","2022-11-29 08:40:28",NA,NA,"LS Watched",NA,"",0,""
"78","C0066","Big Watermill","2022-11-29 08:40:44",NA,NA,"LS Watched",NA,"physAnim_ramp",45.4679999351501,"physAnim_ramp"
"79","E0550","Around the Tree","2022-11-29 08:40:56",NA,NA,"LS Watched",NA,"game_tools",14.4400000572205,"game_tools"
"80","E0550","Around the Tree","2022-11-29 08:40:56",NA,NA,"LS Watched",NA,"",14.44,""
"81","D2608","Shark","2022-11-29 08:40:58",NA,NA,"LS Watched",NA,"physAnim_lever",1.83400011062622,"physAnim_lever"
"82","E3384","Shark","2022-11-29 08:41:06",NA,NA,"LS Watched",NA,"hint",2.11199998855591,"hint"
"83","C3104","Cloudy Day","2022-11-29 08:41:10",NA,NA,"LS Watched",NA,"physAnim_pendulum",0.552000045776367,"physAnim_pendulum"
"84","F3452","Sunny Day","2022-11-29 08:41:15",NA,NA,"LS Watched",NA,"hint",3.77600002288818,"hint"
