uid,timestamp_Nudge,timestamp_Lever,timestamp_Ramp,timestamp_Pendulum,timestamp_Springboard,timestamp_Down Hill,timestamp_Lead the Ball,timestamp_Chocolate Factory,timestamp_Around the Tree,timestamp_Big Watermill,timestamp_Sunny Day,timestamp_Wavy,timestamp_On the Upswing,timestamp_Shark,timestamp_One at a time,timestamp_Scale,timestamp_Cloudy Day,timestamp_Crazy Seesaw,timestamp_Roller coaster,timestamp_Uphill Battle,timestamp_Little Mermaid,timestamp_Ultimate Pinball,timestamp_Yippie!,timestamp_Diving Board,timestamp_Stiff Curtains,timestamp_Diving Board World,timestamp_Need Fulcrum,timestamp_Timing is Everything,timestamp_Perfect Toss,timestamp_Up in the Air,timestamp_Spider Web,timestamp_Can Opener,TrophyLevel_Nudge,TrophyLevel_Lever,TrophyLevel_Ramp,TrophyLevel_Pendulum,TrophyLevel_Springboard,TrophyLevel_Down Hill,TrophyLevel_Lead the Ball,TrophyLevel_Chocolate Factory,TrophyLevel_Around the Tree,TrophyLevel_Big Watermill,TrophyLevel_Sunny Day,TrophyLevel_Wavy,TrophyLevel_On the Upswing,TrophyLevel_Shark,TrophyLevel_One at a time,TrophyLevel_Scale,TrophyLevel_Cloudy Day,TrophyLevel_Crazy Seesaw,TrophyLevel_Roller coaster,TrophyLevel_Uphill Battle,TrophyLevel_Little Mermaid,TrophyLevel_Ultimate Pinball,TrophyLevel_Yippie!,TrophyLevel_Diving Board,TrophyLevel_Stiff Curtains,TrophyLevel_Diving Board World,TrophyLevel_Need Fulcrum,TrophyLevel_Timing is Everything,TrophyLevel_Perfect Toss,TrophyLevel_Up in the Air,TrophyLevel_Spider Web,TrophyLevel_Can Opener,NumberAttempts_Nudge,NumberAttempts_Lever,NumberAttempts_Ramp,NumberAttempts_Pendulum,NumberAttempts_Springboard,NumberAttempts_Down Hill,NumberAttempts_Lead the Ball,NumberAttempts_Chocolate Factory,NumberAttempts_Around the Tree,NumberAttempts_Big Watermill,NumberAttempts_Sunny Day,NumberAttempts_Wavy,NumberAttempts_On the Upswing,NumberAttempts_Shark,NumberAttempts_One at a time,NumberAttempts_Scale,NumberAttempts_Cloudy Day,NumberAttempts_Crazy Seesaw,NumberAttempts_Roller coaster,NumberAttempts_Uphill Battle,NumberAttempts_Little Mermaid,NumberAttempts_Ultimate Pinball,NumberAttempts_Yippie!,NumberAttempts_Diving Board,NumberAttempts_Stiff Curtains,NumberAttempts_Diving Board World,NumberAttempts_Need Fulcrum,NumberAttempts_Timing is Everything,NumberAttempts_Perfect Toss,NumberAttempts_Up in the Air,NumberAttempts_Spider Web,NumberAttempts_Can Opener,quit,silver,gold
C3148,2022-11-29T08:15:58Z,2022-11-29T08:17:57Z,2022-11-29T08:18:37Z,2022-11-29T08:20:06Z,2022-11-29T08:23:49Z,2022-11-29T08:24:27Z,2022-11-29T08:25:32Z,2022-11-29T08:26:33Z,2022-12-01T08:19:35Z,2022-11-29T08:36:39Z,2022-11-29T08:50:49Z,2022-11-29T08:52:42Z,2022-11-30T08:25:34Z,2022-12-01T08:24:59Z,2022-12-01T08:25:13Z,2022-12-01T08:32:20Z,2022-11-30T08:27:34Z,2022-12-01T08:32:44Z,2022-12-02T08:35:40Z,NA,2022-11-30T08:28:04Z,2022-11-30T08:52:38Z,2022-11-30T08:34:49Z,2022-11-30T08:53:25Z,2022-12-01T08:49:25Z,2022-12-02T08:23:42Z,2022-12-02T08:25:54Z,2022-12-02T08:28:18Z,2022-12-02T08:31:13Z,2022-12-02T08:39:56Z,2022-11-30T08:53:21Z,2022-12-02T08:32:22Z,silver,silver,silver,silver,silver,gold,gold,gold,gold,gold,gold,gold,quit,gold,gold,silver,gold,gold,quit,NA,quit,silver,silver,quit,silver,quit,gold,gold,quit,gold,gold,silver,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,6,10,15
D3418,2022-11-29T08:16:18Z,2022-11-29T08:18:05Z,2022-11-29T08:19:12Z,2022-11-29T08:21:45Z,2022-11-29T08:23:34Z,2022-12-02T08:16:39Z,2022-11-29T08:23:49Z,2022-12-02T08:19:25Z,2022-11-29T08:26:03Z,2022-12-02T08:23:20Z,2022-12-02T08:35:44Z,2022-12-02T08:24:00Z,2022-12-02T08:24:33Z,2022-11-29T08:46:26Z,2022-11-29T08:47:04Z,2022-11-29T08:48:30Z,2022-12-02T08:25:47Z,2022-11-29T08:49:35Z,2022-11-30T08:46:59Z,2022-12-02T08:31:44Z,2022-12-02T08:46:43Z,2022-12-02T08:31:29Z,2022-12-02T08:26:25Z,2022-12-02T08:34:56Z,2022-11-30T08:15:03Z,2022-11-30T08:20:19Z,2022-11-30T08:23:16Z,2022-11-30T08:33:56Z,2022-11-30T08:25:40Z,2022-11-30T08:31:03Z,2022-12-02T08:33:21Z,2022-11-30T08:32:05Z,silver,silver,silver,silver,silver,gold,gold,quit,gold,quit,silver,silver,gold,silver,gold,gold,silver,gold,quit,quit,silver,silver,gold,quit,quit,quit,quit,silver,silver,silver,silver,quit,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,9,15,8
D3137,2022-11-29T08:16:26Z,2022-11-29T08:17:34Z,2022-11-29T08:17:59Z,2022-11-29T08:19:41Z,2022-11-29T08:24:05Z,2022-12-01T08:35:23Z,2022-11-29T08:25:53Z,2022-12-01T08:45:16Z,2022-11-29T08:40:10Z,2022-12-02T08:31:30Z,2022-12-02T08:44:38Z,2022-12-02T08:45:24Z,NA,2022-11-30T08:19:45Z,NA,NA,NA,NA,2022-11-30T08:25:42Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-11-30T08:22:20Z,silver,silver,silver,silver,silver,silver,silver,silver,silver,silver,gold,gold,NA,quit,NA,NA,NA,NA,quit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,quit,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,10,2
A3430,2022-11-29T08:18:25Z,2022-11-29T08:19:26Z,2022-11-29T08:19:58Z,2022-11-29T08:23:14Z,2022-11-29T08:24:26Z,2022-11-29T08:24:57Z,2022-11-29T08:26:17Z,2022-11-29T08:32:26Z,2022-12-01T08:15:44Z,2022-11-29T08:41:32Z,2022-11-29T08:45:49Z,2022-11-29T08:46:26Z,2022-11-29T08:48:32Z,2022-12-01T08:19:14Z,2022-12-01T08:20:04Z,2022-12-01T08:21:08Z,2022-11-29T08:50:52Z,2022-12-01T08:23:09Z,2022-12-01T08:41:11Z,2022-11-30T08:23:01Z,2022-11-29T08:52:19Z,2022-11-30T08:18:17Z,2022-11-29T08:54:00Z,2022-11-30T08:30:50Z,2022-12-01T08:25:41Z,2022-12-01T08:26:46Z,2022-12-01T08:27:40Z,2022-12-01T08:29:05Z,2022-12-01T08:32:49Z,2022-12-01T08:33:07Z,2022-11-30T08:19:21Z,2022-12-01T08:38:38Z,silver,silver,silver,silver,silver,silver,silver,silver,quit,silver,silver,silver,silver,quit,gold,silver,silver,silver,silver,gold,silver,quit,quit,quit,silver,quit,gold,quit,silver,quit,silver,quit,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,20,3
D3317,2022-11-29T08:18:31Z,2022-11-29T08:19:21Z,2022-11-29T08:20:02Z,2022-11-29T08:22:25Z,2022-11-29T08:23:50Z,2022-12-01T08:24:29Z,2022-11-29T08:24:38Z,2022-12-01T08:27:33Z,2022-11-29T08:30:38Z,2022-12-01T08:36:41Z,2022-12-01T08:41:18Z,2022-12-01T08:42:40Z,2022-12-01T08:48:12Z,NA,2022-11-30T08:21:07Z,2022-11-30T08:26:44Z,2022-12-02T08:24:51Z,NA,NA,2022-12-02T08:22:39Z,2022-12-01T08:47:37Z,2022-12-02T08:21:24Z,2022-12-01T08:44:13Z,2022-12-01T08:45:06Z,2022-11-30T08:32:25Z,NA,2022-11-30T08:29:02Z,2022-11-30T08:28:11Z,2022-11-30T08:48:26Z,NA,2022-12-01T08:49:20Z,2022-11-30T08:52:04Z,silver,silver,silver,silver,silver,silver,gold,gold,silver,gold,quit,quit,quit,NA,silver,quit,quit,NA,NA,quit,quit,quit,silver,quit,quit,NA,quit,quit,quit,NA,quit,quit,1,1,1,1,1,1,3,1,2,1,1,1,1,NA,1,1,1,NA,NA,1,1,1,1,1,1,NA,1,1,1,NA,1,1,15,9,3
A3294,2022-11-29T08:18:36Z,2022-11-29T08:19:29Z,2022-11-29T08:20:11Z,2022-11-29T08:21:08Z,2022-11-29T08:24:07Z,2022-11-29T08:25:41Z,2022-11-29T08:26:24Z,2022-11-29T08:34:59Z,2022-12-01T08:24:29Z,2022-11-29T08:44:02Z,2022-11-29T08:52:06Z,2022-11-30T08:19:31Z,2022-11-30T08:20:01Z,2022-12-01T08:29:37Z,2022-12-01T08:30:10Z,2022-12-01T08:30:48Z,2022-11-30T08:22:45Z,2022-12-01T08:36:14Z,2022-12-02T08:22:17Z,NA,2022-11-30T08:31:40Z,NA,2022-11-30T08:34:25Z,NA,2022-12-01T08:40:40Z,2022-12-02T08:37:06Z,2022-12-01T08:44:26Z,2022-12-01T08:46:10Z,2022-12-02T08:35:55Z,2022-12-02T08:18:07Z,NA,2022-12-02T08:24:30Z,silver,silver,silver,silver,silver,gold,silver,silver,silver,silver,gold,quit,gold,silver,gold,gold,quit,quit,quit,NA,quit,NA,quit,NA,quit,quit,quit,silver,quit,quit,NA,quit,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,NA,1,NA,1,NA,1,1,1,1,1,1,NA,1,12,11,5
F3452,2022-11-29T08:18:37Z,2022-11-29T08:19:28Z,2022-11-29T08:22:37Z,2022-11-29T08:23:24Z,2022-11-29T08:26:47Z,2022-11-29T08:27:10Z,2022-11-29T08:27:45Z,2022-11-29T08:28:24Z,2022-12-02T08:21:19Z,2022-11-29T08:38:44Z,2022-11-29T08:50:40Z,2022-11-30T08:21:46Z,2022-11-30T08:30:06Z,2022-12-02T08:22:33Z,2022-12-02T08:23:14Z,2022-12-02T08:23:57Z,2022-11-30T08:46:28Z,2022-12-02T08:27:22Z,NA,2022-12-01T08:42:53Z,2022-11-30T08:51:42Z,2022-12-01T08:35:07Z,2022-12-01T08:20:31Z,2022-12-01T08:46:31Z,2022-12-02T08:37:06Z,NA,NA,NA,NA,NA,2022-12-01T08:37:23Z,NA,silver,silver,silver,silver,silver,gold,silver,gold,gold,gold,gold,silver,quit,gold,gold,gold,gold,silver,NA,quit,silver,quit,silver,quit,quit,NA,NA,NA,NA,NA,gold,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,NA,5,10,10
A3351,2022-11-29T08:18:54Z,2022-11-29T08:19:57Z,2022-11-29T08:21:11Z,2022-11-29T08:22:46Z,2022-11-29T08:25:43Z,2022-11-29T08:27:09Z,2022-11-29T08:28:40Z,2022-11-29T08:33:38Z,2022-12-01T08:25:34Z,2022-11-30T08:18:12Z,2022-11-30T08:20:37Z,2022-11-30T08:21:03Z,2022-11-30T08:31:12Z,2022-12-01T08:31:36Z,2022-12-01T08:33:15Z,2022-12-01T08:35:36Z,2022-11-30T08:32:21Z,2022-12-01T08:37:01Z,NA,NA,NA,NA,NA,NA,2022-12-01T08:42:07Z,2022-12-02T08:26:48Z,2022-12-02T08:41:23Z,2022-12-02T08:32:15Z,2022-12-02T08:49:19Z,NA,NA,NA,silver,silver,silver,silver,silver,silver,silver,gold,silver,quit,quit,quit,quit,silver,gold,silver,quit,gold,NA,NA,NA,NA,NA,NA,silver,quit,silver,silver,quit,NA,NA,NA,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,7,13,3
E3384,2022-11-29T08:19:31Z,2022-11-29T08:22:44Z,2022-11-29T08:24:48Z,2022-11-29T08:25:38Z,2022-11-29T08:28:07Z,2022-12-02T08:20:58Z,2022-11-29T08:28:45Z,2022-12-02T08:21:58Z,2022-11-29T08:29:22Z,2022-12-02T08:28:07Z,2022-12-02T08:32:04Z,2022-12-02T08:35:06Z,2022-12-02T08:38:33Z,2022-12-01T08:44:27Z,2022-11-30T08:23:28Z,2022-11-30T08:24:01Z,2022-12-02T08:40:06Z,2022-11-30T08:25:05Z,NA,NA,2022-12-02T08:44:20Z,NA,2022-12-02T08:47:14Z,NA,2022-12-01T08:16:05Z,2022-12-01T08:50:28Z,2022-12-01T08:21:39Z,NA,2022-12-01T08:33:22Z,NA,NA,NA,silver,silver,silver,silver,silver,silver,gold,gold,gold,quit,gold,gold,quit,silver,gold,gold,silver,gold,NA,NA,quit,NA,gold,NA,silver,quit,gold,NA,quit,NA,NA,NA,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,NA,1,NA,1,1,1,NA,1,NA,NA,NA,5,9,10
C3115,2022-11-29T08:19:57Z,2022-11-29T08:20:34Z,2022-11-29T08:21:14Z,2022-11-29T08:21:45Z,2022-11-29T08:22:54Z,2022-11-29T08:23:10Z,2022-11-29T08:23:33Z,2022-11-29T08:25:49Z,2022-12-01T08:14:28Z,2022-11-29T08:30:11Z,2022-11-29T08:42:42Z,2022-11-29T08:45:51Z,2022-11-29T08:46:49Z,2022-12-01T08:17:13Z,2022-12-01T08:18:48Z,2022-12-01T08:20:04Z,2022-11-29T08:48:23Z,2022-12-01T08:25:04Z,2022-12-02T08:36:24Z,2022-11-30T08:34:20Z,2022-11-30T08:27:28Z,NA,NA,2022-11-30T08:31:21Z,2022-12-01T08:37:52Z,2022-12-02T08:37:34Z,2022-12-01T08:48:03Z,2022-12-01T08:51:16Z,NA,2022-12-02T08:25:00Z,2022-11-30T08:50:33Z,NA,silver,silver,silver,silver,silver,gold,gold,gold,gold,silver,silver,silver,gold,silver,gold,silver,silver,silver,silver,silver,quit,NA,NA,silver,quit,quit,quit,quit,NA,quit,silver,NA,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,NA,NA,1,1,1,1,1,NA,1,1,NA,6,16,6
