uid,Nudge,Lever,Ramp,Pendulum,Springboard,Down Hill,Lead the Ball,Chocolate Factory,Around the Tree,Big Watermill,Sunny Day,Wavy,On the Upswing,Shark,One at a time,Scale,Cloudy Day,Crazy Seesaw,Roller coaster,Uphill Battle,Little Mermaid,Ultimate Pinball,Yippie!,Diving Board,Stiff Curtains,Diving Board World,Need Fulcrum,Timing is Everything,Perfect Toss,Up in the Air,Spider Web,Can Opener,quit,silver,gold
C3148,silver,silver,silver,silver,silver,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,silver,gold,gold,quit,NA,quit,silver,gold,quit,silver,quit,gold,gold,quit,gold,gold,silver,5,9,17
D3418,silver,silver,silver,silver,silver,gold,gold,gold,gold,silver,silver,silver,gold,silver,gold,gold,silver,gold,silver,gold,silver,silver,gold,quit,quit,quit,silver,silver,silver,silver,silver,silver,3,19,10
D3137,silver,silver,silver,silver,silver,silver,gold,gold,gold,silver,gold,gold,NA,quit,NA,NA,NA,NA,quit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,quit,3,7,5
A3430,silver,silver,silver,silver,silver,gold,gold,silver,silver,silver,silver,silver,silver,silver,gold,gold,silver,gold,silver,gold,silver,quit,quit,quit,gold,quit,gold,silver,silver,silver,silver,silver,4,20,8
D3317,silver,silver,silver,silver,silver,gold,gold,gold,silver,gold,gold,silver,gold,NA,silver,quit,quit,NA,NA,quit,quit,quit,silver,quit,quit,NA,quit,quit,quit,NA,quit,quit,12,9,6
A3294,silver,silver,silver,silver,silver,gold,gold,silver,silver,silver,gold,quit,gold,silver,gold,gold,quit,quit,silver,NA,quit,NA,quit,NA,quit,quit,quit,silver,quit,quit,NA,quit,11,11,6
F3452,silver,silver,silver,silver,silver,gold,gold,gold,gold,gold,gold,silver,quit,gold,gold,gold,gold,silver,NA,quit,silver,quit,silver,quit,quit,NA,NA,NA,NA,NA,gold,NA,5,9,11
A3351,silver,silver,silver,silver,silver,silver,silver,gold,silver,quit,gold,silver,quit,silver,gold,silver,silver,gold,NA,NA,NA,NA,NA,NA,silver,quit,silver,silver,quit,NA,NA,NA,4,15,4
E3384,silver,silver,silver,silver,silver,silver,gold,gold,gold,quit,gold,gold,quit,silver,gold,gold,silver,gold,NA,NA,quit,NA,gold,NA,silver,quit,gold,NA,quit,NA,NA,NA,5,9,10
C3115,silver,silver,silver,silver,silver,gold,gold,gold,gold,silver,silver,silver,gold,silver,gold,silver,silver,silver,silver,silver,quit,NA,NA,silver,quit,quit,quit,quit,NA,quit,silver,NA,6,16,6
